date,org_id,org_name,numerator,denominator,ratio,percentile,10th percentile,20th percentile,30th percentile,40th percentile,50th percentile,60th percentile,70th percentile,80th percentile,90th percentile
2017-09-01,,,1929148796.45,58603.227,32918.8151439169,,14916.621816551493,21444.034017433874,29142.64216144402,32086.25528309361,35092.96676721531,38401.195072528375,42561.86557867911,46448.62617208096,53727.14827458371
2017-10-01,,,1935236960.192,58717.192,32958.608786878,,14987.19347059033,21485.035860239786,28558.175321367584,31641.66687641581,35219.037730168784,38786.902633583166,42670.0865517799,46370.61099212694,53365.62697600494
2017-11-01,,,1945783567.734,58808.731,33086.644357859,,14482.504447251733,21324.704768261647,28565.46061152384,31617.255310562028,35889.75821188105,38285.66985492066,42906.27993882808,47004.41213034469,54348.43889189071
2017-12-01,,,1958043304.508,58878.355,33255.7406623877,,14252.026423026617,21392.166726465774,29073.810079943338,32570.304169797266,35788.959020624345,38357.45056309302,42479.44828371811,47435.464372521434,54381.23467641208
2018-01-01,,,1939191214.334,58911.647,32916.9410988289,,14410.100004624208,21582.135640114175,29036.910689133103,31950.520830370297,35151.47618982762,38627.15293253711,42211.93391428441,46952.91901106085,53621.34269745748
2018-02-01,,,1748366343.404,58967.159,29649.831754723,,12739.924556917726,18601.287772572043,25975.17318585106,28694.226954646532,31791.443941860474,34762.74939987974,38255.55761976075,41443.5390702275,48373.890699438634
2018-03-01,,,1929210994.384,59002.556,32697.074926449,,14181.884234000066,20826.45060445317,28610.398698384633,31286.960442207954,34879.563578295056,38655.37064825931,42420.70729233018,46626.81068029191,54219.58922995425
2018-04-01,,,1838055583.974,59037.14,31133.8859567723,,13178.334914944891,20273.388278307215,26947.419855222335,30480.46568639981,33164.90144784676,37137.17138454201,40833.07277115652,43789.40285458359,50917.87427517882
2018-05-01,,,1931889635.074,59082.551,32698.1418773539,,14772.15254830558,21063.89637211154,28521.034561859615,32019.30223475808,35132.948217230936,38377.875943900115,42270.3673939743,46305.66905751748,53918.25124553539
2018-06-01,,,1890792749.478,59131.011,31976.3304821221,,14072.30423511169,20999.982282540328,28169.649859448746,31291.75903190762,33925.470232568674,37837.58478051879,41188.131386670495,45643.36617229747,52736.2545298039
2018-07-01,,,1874487441.844,59175.499,31676.7492208895,,13939.427582534612,20243.23237172192,28137.039291757814,30583.345207064773,33978.67995584702,37184.616285644406,41391.68877593768,44861.90758956285,51536.7417529989
2018-08-01,,,1935624406.718,59231.739,32678.8380587306,,14412.80156224614,20977.32679544417,28764.872478154808,32118.361603805377,35644.52194075592,39022.01489729892,42188.79085080576,46785.34373494843,53633.18868222412
2018-09-01,,,1780213189.672,59294.761,30023.1109738683,,13041.640668012473,19946.9356556193,26580.552795237414,29681.54255140156,32364.089469204384,35150.65278913645,38530.61512981234,42623.69406610491,49157.586363378505
2018-10-01,,,1923015442.562,59407.165,32370.0927752065,,14774.088666145217,20881.830204391226,28050.888251754033,31467.90451093389,34569.08362490057,37939.0525927362,42317.591168452505,46350.83840137328,53366.36784022242
2018-11-01,,,1872267828.454,59500.859,31466.2319153073,,14061.030371616158,19686.119315347292,27928.036651161252,30447.433358022616,34033.25917069151,37231.037140131666,41072.281311376355,44663.59687029147,51228.60468927955
2018-12-01,,,1862557866.38,59571.914,31265.704613419,,13840.322752449936,20189.658849695355,27258.8415640577,30820.446198787777,33514.239983996835,36756.39311609238,40807.47013576264,44855.22410787022,52474.875704595375
2019-01-01,,,1885790876.816,59604.623,31638.3324296171,,14234.370066270643,21061.645792789845,27866.19404289165,30655.84781345121,34518.17161442557,37181.39710952723,41670.91448348535,45084.08189144123,51788.11085779867
2019-02-01,,,1697432558.718,59667.091,28448.3880522682,,12906.646722553847,17951.440178315603,24810.013610260616,27777.833289662405,30691.947315679616,33483.77139042023,37066.96017803067,40318.51037189943,46641.1705359572
2019-03-01,,,1844737282.054,59712.311,30893.7512409125,,13564.678692248162,19814.55750002494,26916.614154086357,29980.475584695167,33387.887930570374,36240.87527352296,40349.801091539266,43742.69292269348,51144.37469226218
2019-04-01,,,1814610831.782,59757.132,30366.4311028515,,13968.359930764027,19498.574073389897,26292.04461713674,29405.77955780441,32309.04685020431,35953.06395599858,39923.26470658674,43440.62635906144,49321.21289035944
2019-05-01,,,1915117296.826,59802.811,32023.8675206421,,14319.708167792704,20125.57465511412,27751.069472534684,31263.420730377606,34917.44097393765,38122.144007611925,42007.908087291384,45977.51944102451,52006.10770733998
2019-06-01,,,1764526479.732,59852.519,29481.2400415762,,13202.744999220038,19031.589325007073,25820.046812160228,28759.934685328,31613.50432944019,34969.977509450815,38419.654242445205,42437.09957770576,49173.50610545608
2019-07-01,,,1815594322.438,59898.689,30311.0861481125,,14068.52531427257,19277.31710448832,25953.441403727535,29429.6771614269,32931.628994409555,35625.20599250934,40022.80021108907,42908.60555826428,50292.08035168527
